    31P        1a    2a    3a   3b   3c   4a  4b  5a  6a  6b 6c  7a 8a 8b  9a  9b 9c 10a 12a 12b 12c 12d 13a 14a 15a 15b 18a 18b 19a 20a 21a 24a 24b 24c 24d 27a 27b 27c 28a 30a 30b  31a 31b 36a 36b 36c 39b 39a

X01             1     1     1    1    1    1   1   1   1   1  1   1  1  1   1   1  1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
X02           248    -8    14    5   -4    8   0  -2   4  -2  1   3  0  0   5  -4  2   2   2   2  -1   0   1  -1   1   1   1  -2   1   0   0   0   0   0   0   2  -1  -1   1  -1  -1   0   0  -1  -1  -1   1   1
X03          4123    27    64   -8    1   27  -5  -2   9   0  0   7  3 -1  -8   1  4   2   0   0   0   1   2  -1   1   1   0   0   0   0   1   0   0  -1  -1  -2   1   1  -1  -1  -1   0   0   0   0   0  -1  -1
X04         27000   120   -27   27    0    8   0   0   0  -3  3   1  0  0   0   0  0   0   A  /A  -1   0  -1   1   0   0   0   0   1   0   1   D  -D   0   0   0   0   0   1   0   0  -1  -1   2   H  /H  -1  -1
X05         27000   120   -27   27    0    8   0   0   0  -3  3   1  0  0   0   0  0   0  /A   A  -1   0  -1   1   0   0   0   0   1   0   1  -D   D   0   0   0   0   0   1   0   0  -1  -1   2  /H   H  -1  -1
X06         30628   -92    91   10   10   36   4   3  10  -5 -2   3 -4  0  10  10  1   3   3   3   0  -2   0  -1   0   0  -2   1   0  -1   0  -1  -1   0   0   1   1   1   1   0   0   0   0   0   0   0   0   0
X07         30875   155   104   14    5   27  -5   0   5   8  2   5  3 -1  14   5  2   0   0   0   0   1   0   1   0   0   2   2   0   0  -1   0   0  -1  -1   2  -1  -1  -1   0   0  -1  -1   0   0   0   0   0
X08         61256    72   182   20   20   56   0   6  12   6  0   6  0  0  -7  -7  2   2   2   2   2   0   0   2   0   0  -3   0   0   0   0   0   0   0   0  -1  -1  -1   0   2   2   0   0  -1  -1  -1   0   0
X09         85995   -21     0  -27   27  -21  11  -5   3   0 -3   0  3 -1   0   0  0  -1   0   0  -3  -1   0   0   C  /C   0   0   1   1   0   0   0  -1  -1   0   0   0   0  -C -/C   1   1   0   0   0   0   0
X010        85995   -21     0  -27   27  -21  11  -5   3   0 -3   0  3 -1   0   0  0  -1   0   0  -3  -1   0   0  /C   C   0   0   1   1   0   0   0  -1  -1   0   0   0   0 -/C  -C   1   1   0   0   0   0   0
X011       147250    50   181   -8  -35   34  10   0   5   5 -4   5  2 -2  19  -8  1   0   1   1  -2   1  -1   1   0   0  -1  -1   0   0  -1  -1  -1   1   1   1   1   1  -1   0   0   0   0   1   1   1  -1  -1
X012       767637   405     0    0    0  -27  -3  12   0   0  0   3 -3 -3   0   0  0   0   0   0   0   0   0  -1   0   0   0   0  -1   2   0   0   0   0   0   0   0   0   1   0   0   G  /G   0   0   0   0   0
X013       767637   405     0    0    0  -27  -3  12   0   0  0   3 -3 -3   0   0  0   0   0   0   0   0   0  -1   0   0   0   0  -1   2   0   0   0   0   0   0   0   0   1   0   0  /G   G   0   0   0   0   0
X014       779247  -273  -189  -54    0   63  -9  -3   0   3  6   0 -1  3   0   0  0  -3   3   3   0   0   1   0   0   0   0   0   0   1   0  -1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   I  /I
X015       779247  -273  -189  -54    0   63  -9  -3   0   3  6   0 -1  3   0   0  0  -3   3   3   0   0   1   0   0   0   0   0   0   1   0  -1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0  /I   I
X016       957125  -315   650  -52  -25  133   5   0  15  -6  0   8 -3  1 -25   2  2   0  -2  -2  -2  -1   0   0   0   0   3   0   0   0  -1   0   0   1   1  -1  -1  -1   0   0   0   0   0   1   1   1   0   0
X017      1707264  -768     0  -54   54    0   0  14  -6   0  6   6  0  0   0   0  0   2   0   0   0   0   0   2  -1  -1   0   0   0   0   0   0   0   E  -E   0   0   0   0  -1  -1   1   1   0   0   0   0   0
X018      1707264  -768     0  -54   54    0   0  14  -6   0  6   6  0  0   0   0  0   2   0   0   0   0   0   2  -1  -1   0   0   0   0   0   0   0  -E   E   0   0   0   0  -1  -1   1   1   0   0   0   0   0
X019      2450240   832   260   71   44   64   0 -10   4   4 -5  -5  0  0  17 -10 -1   2   4   4   1   0   0  -1  -1  -1   1   1   0   0   1   0   0   0   0  -1  -1  -1   1  -1  -1   0   0   1   1   1   0   0
X020      2572752 -1072   624  111   84   48   0   2  -4 -16 -1   7  0  0  30   3  3  -2   0   0   3   0   0  -1  -1  -1   2  -1   0   0   1   0   0   0   0   0   0   0  -1   1   1   0   0   0   0   0   0   0
X021      3376737   609   819    9    9  161   1 -13   9   3 -3   0  1  1   9   9  0  -1  -1  -1  -1   1   0   0  -1  -1  -3   0   0   1   0   1   1   1   1   0   0   0   0  -1  -1   0   0  -1  -1  -1   0   0
X022      4096000     0    64   -8  -80    0   0   0   0   0  0  -8  0  0  -8   1  4   0   0   0   0   0  -1   0   0   0   0   0  -1   0   1   0   0   0   0   1   F  /F   0   0   0   1   1   0   0   0  -1  -1
X023      4096000     0    64   -8  -80    0   0   0   0   0  0  -8  0  0  -8   1  4   0   0   0   0   0  -1   0   0   0   0   0  -1   0   1   0   0   0   0   1  /F   F   0   0   0   1   1   0   0   0  -1  -1
X024      4123000   120   118   19  -80    8   0   0   0   6  3  -7  0  0  19   1  4   0   2   2  -1   0  -2   1   0   0   3   0   0   0  -1   0   0   0   0  -2   1   1   1   0   0   0   0  -1  -1  -1   1   1
X025      4881384  1512   729    0    0   72  24   9   0   9  0   4  8  0   0   0  0  -3  -3  -3   0   0   1   0   0   0   0   0  -1  -1   1  -1  -1   0   0   0   0   0   2   0   0   0   0   0   0   0   1   1
X026      4936750  -210   637  -38  -65  126 -10   0  15  -3  6   0 -2  2  16 -11 -2   0  -3  -3   0  -1   0   0   0   0   0   0  -1   0   0   1   1  -1  -1   1   1   1   0   0   0   0   0   0   0   0   0   0
X027      6669000 -1080  -351  108    0   56   0   0   0   9  0   2  0  0   0   0  0   0   A  /A   2   0   0  -2   0   0   0   0   0   0  -1  -D   D   0   0   0   0   0   0   0   0   1   1   2   H  /H   0   0
X028      6669000 -1080  -351  108    0   56   0   0   0   9  0   2  0  0   0   0  0   0  /A   A   2   0   0  -2   0   0   0   0   0   0  -1   D  -D   0   0   0   0   0   0   0   0   1   1   2  /H   H   0   0
